reference,hypothesis,bleu_score,rouge1_score,rouge2_score,rougeL_score
What is your family medical history?,"Tell me about your medical history, any conditions running in the family?",0.16666666666666666,0.4444444444444444,0.12500000000000003,0.3333333333333333
How old are your brothers?,Nobody else in the family?,0.0,0.0,0.0,0.0
Any family history of diabetes?,Oh.,0.0,0.0,0.0,0.0
"Are you still working, sir?",What did you do before you retired?,0.14285714285714285,0.16666666666666666,0.0,0.16666666666666666
That's awesome.,Are you married?,0.0,0.0,0.0,0.0
Do you drink?,Do you smoke? Or consume alcohol or use illicit drugs?,0.2,0.30769230769230765,0.1818181818181818,0.30769230769230765
How about smoking or any drugs?,Have you ever used any illicit drugs?,0.2857142857142857,0.30769230769230765,0.0,0.30769230769230765
Okay.,Thank you for the information.,0.0,0.0,0.0,0.0
Do you know about any allergies from any medications?,"Anything I should know, any allergies?",0.1010884432854389,0.4,0.15384615384615385,0.4
"Good afternoon, ma'am. Can you tell me more about yourself, please?","What is your height, ma'am? And approximately how many pounds do you weigh?",0.07692307692307693,0.23076923076923075,0.08333333333333334,0.23076923076923075
Did the nurses get your height?,Thank you.,0.0,0.0,0.0,0.0
How tall are you?,"What is your diagnosed type of diabetes, if any?",0.0,0.0,0.0,0.0
"Thank you, and how much do you weigh?",Thank you.,0.024893534183931972,0.4,0.25,0.4
"Great, and do you have any major medical conditions that I should know about?",Thank you.,0.0,0.125,0.0,0.125
"Thank you, and do you have any allergies to any medicine?",Are you allergic to any medications?,0.21729910425353913,0.3529411764705882,0.13333333333333333,0.3529411764705882
Did he get his B C G vaccine?,Good afternoon. What brings you to the clinic today? Did my nurse take a good look at you?,0.05555555555555555,0.07692307692307691,0.0,0.07692307692307691
"Okay, did you have his immunization records?","Great, is this your son, sir?",0.0,0.0,0.0,0.0
"Okay, how long has he been complaining of uneasiness in his stomach?",Perfect. Juts a few more questions and we will be all set. Is there any history of liver disease?,0.05263157894736842,0.06451612903225808,0.0,0.06451612903225808
Any history of liver problems or gallbladder stones?,"Great, how about chills or fever? Any signs of infection?",0.3,0.33333333333333326,0.0,0.22222222222222224
"Okay, good. Any fever or chills?",Perfect. Any other medical conditions I should be aware of?,0.1,0.125,0.0,0.125
Any history of ulcers?,Maybe kidney stones?,0.0,0.0,0.0,0.0
What's your living situation like?,Do you smoke? Do you drink alcohol?,0.0,0.0,0.0,0.0
Do they serve as a good support system for you?,That is great that you have lots of support. It is good to not live totally by yourself and have people to watch over you.,0.04,0.17142857142857143,0.0,0.11428571428571428
"And as for drinking and drugs, do you drink or use tobacco products?",Thank you for the information.,0.08075860719786215,0.2222222222222222,0.0,0.1111111111111111
"You know smoking is bad for you, right?",Thank you for the information.,0.10976232721880529,0.3076923076923077,0.0,0.3076923076923077
How've you been feeling lately?,How are you feeling today?,0.4,0.5454545454545454,0.0,0.5454545454545454
How've you been managing your anxiety?,You seem anxious.,0.0,0.2,0.0,0.2
"Good, good. And any problems with your blood pressure?",Your last few records show that you feel uncomfortable talking to me?,0.0,0.09523809523809525,0.0,0.09523809523809525
"Hello, how are you today?",Do you smoke or drink?,0.2,0.20000000000000004,0.0,0.20000000000000004
Great. What would you like to bring up today?,You don't drink or smoke?,0.0,0.13333333333333333,0.0,0.13333333333333333
Alright. Let's start with the basics. Do you drink? Excessive drinking can cause issues with the liver.,Thank you for providing the information.,0.05329324869323129,0.16666666666666666,0.0,0.16666666666666666
"Okay, that is a common concern. We can address that today. Do you happen to smoke?",Lets stay on the topic of your alcohol and nicotine use for now.,0.0,0.0,0.0,0.0
"Hello, I will ask you a few questions.",How long have you been living in the area? Or are you new to the area?,0.0625,0.08333333333333333,0.0,0.08333333333333333
Any headaches or breathlessness?,Is something wrong with the address?,0.0,0.0,0.0,0.0
Any skin problems?,"I see completed forms, but I still have to ask everyone these questions from my checklist, sorry. Are you-",0.0,0.0,0.0,0.0
Any pain in the chest or anywhere else?,And nothing new with the constitution of your family? Did you get a new roommate? Or has someone new moved in since you were last here?,0.07692307692307693,0.1764705882352941,0.0,0.11764705882352941
Any other problem that I should know.,"Are you still working with your hands, like with jewelry or painting?",0.0,0.0,0.0,0.0
Did you ever see that your skin is turning blue or greyish in color?,"I'm going to check your extremities. No discoloration, clubbing, or swelling here.",0.14108028748176898,0.14814814814814817,0.0,0.14814814814814817
Any swelling like there is water filled inside?,Come in.,0.0,0.0,0.0,0.0
Have you ever noticed any kind of swelling in your fingers or toes?,"From what I can see, you don't have any swelling in your fingers. That's good. Keep an eye on it. Swelling could mean a couple different things.",0.18518518518518517,0.3333333333333333,0.15,0.28571428571428575
Any health problems or health conditions?,"So, have you had any surgeries?",0.0,0.16666666666666666,0.0,0.16666666666666666
Lucky you. No prior surgeries?,Thank you for the information.,0.0,0.20000000000000004,0.0,0.20000000000000004
"Yeah, your fatigue can be due to so many reasons. You have many underlying conditions. You have hypertension, high cholesterol, and osteoarthritis. All this can add up and lead to fatigue. I think you need to really take care of your health.",You mentioned that you have heart conditions and osteoarthritis.,0.014200851781392996,0.23529411764705882,0.0816326530612245,0.196078431372549
"Nice to see you again, miss. I see your last visit was back on August tenth two thousand and four. How are you?","Nice to meet you, ma'am.",0.010929488978917028,0.20689655172413793,0.07407407407407407,0.20689655172413793
How is your husband doing?,The last time I saw you was in our dermatology office and you were with Doctor Luo. How has everything been?,0.047619047619047616,0.07692307692307693,0.0,0.07692307692307693
"Great! I hope the work isn't getting him too stressed out. Also, I need to fill out the ethnicity section in your paperwork; it seems to be missing. What ethnicity do you identify as?","I know how that feels. So, remind me, how old are you?",0.013323312173307823,0.0851063829787234,0.0,0.0851063829787234
Thanks! Are you still working too?,"Haha, no, no. That's not what I meant. The question was, how old are you?",0.0,0.18181818181818182,0.1,0.18181818181818182
I understand. How is your acne doing?,It's a stressful time of year for any type of employment.,0.0,0.0,0.0,0.0
I see. Let me take a look at this rash. I see you have these small folliculitis lesions that are pus filled bumps centered on your hair.,"I'm sorry to hear that. Rashes can be really brutal sometimes. Before we start the reevaluation, do you remember the last time you were in my office?",0.037037037037037035,0.14545454545454545,0.0,0.10909090909090909
It's treatable. It seems like it's happening because your acne is flaring up.,"Haha, no it's okay. I was just curious.",0.06690767856487378,0.16666666666666669,0.09090909090909091,0.16666666666666669
"I forgot what I prescribed you. Let me take a look at my notes. Oh, I see. I prescribed you five hundred milligrams of Amoxicillin to take twice a day and a point one Tazorac cream. Have those been working?","Yes, I know he did a great job, but seeing Doctor Luo kind of jogged my memory. The last time I saw you was August tenth two thousand and four. It's been a while we should have someone look at this before it gets any worse.",0.2391304347826087,0.2988505747126437,0.023529411764705882,0.18390804597701152
Continue to take those and try not to stop it. Have you been trying anything else?,What have they had you take?,0.03147926713959364,0.2727272727272727,0.0,0.18181818181818182
I see. Has that been helpful?,"How did it start and it looks like it might have spread? Oh, I see. I think this is just a flare up of the acne. Let me go take a look at the folliculitis.",0.05714285714285714,0.09756097560975609,0.05128205128205128,0.09756097560975609
Hello! How are you doing today?,"Which primarily brings you into the office today, sir? Your referral states it could be a T A R N fixation O R some numbness to the toes? Can you confirm?",0.03225806451612903,0.1081081081081081,0.0,0.1081081081081081
How long have your legs been swollen like this?,"I am sorry to hear that, sir. What is frustrating you the most?",0.0,0.0,0.0,0.0
How long has the numbness of your toes been going on?,Oh wow! That's not good. I will run some tests and see what's going on.,0.06666666666666667,0.14285714285714285,0.07692307692307693,0.14285714285714285
Are you able to get up and move around?,"I will also take a look at your legs and evaluate the extent of swelling. And I am curious, have you had any discharge from ulcers?",0.07692307692307693,0.1142857142857143,0.0,0.05714285714285715
"When you get up and try to walk around, do you experience any chest pain or visual problems?",What do you do for back pain?,0.05935662489817165,0.24,0.08695652173913045,0.24
Do you take anything for your pain?,"I will have you weigh in here and we will consider some stress relief exercises after we get the lab results in. You are prone to getting ulcers with the discharge and C O P D. If you do not have enough oxygen in your body, it is hard to heel and it is likely you are getting these leg ulcers because you need more oxygen in your body. Other symptoms like constipations, diarrhea, chest pain, nausea, vomiting?",0.02564102564102564,0.09411764705882351,0.0,0.09411764705882351
"Do you ever experience any constipation, diarrhea, abdominal pain, nausea or vomiting?",That's good.,0.0,0.0,0.0,0.0
Okay. Let me look.,Thank you for the information. It sounds like just bad weather going around the city in general.,0.0,0.0,0.0,0.0
Is this chest pain new for you?,"Hello, how are you? Ah, you are a familiar face, do not remember the last time I saw you though.",0.05,0.07407407407407408,0.0,0.07407407407407408
How would you describe the pain?,"I see. And what exactly have you been experiencing, sir?",0.1,0.125,0.0,0.125
How long does each episode last?,In your chest?,0.0,0.0,0.0,0.0
How would you rate the pain out of ten with ten being the worst?,Can you elaborate more here? And any specific time then you have noticed the pain?,0.13333333333333333,0.20689655172413796,0.07407407407407408,0.20689655172413796
Have you tried taking anything for pain relief?,Have you had any pain or discomfort in your chest?,0.3,0.33333333333333326,0.125,0.33333333333333326
And are you having any other symptoms that I should know about? Like shortness of breath or leg swelling?,Any shortness of breath or nausea?,0.07637256266179182,0.39999999999999997,0.2608695652173913,0.39999999999999997
And how long have you been married?,"Hi Paul, we're with Doctor Quang today're here to ask you some questions and like always Doctor Quang speak with you after we ask you some questions okay. So, first question are you married and do you live together or separately?",0.024390243902439025,0.12,0.0,0.12
"Wow, that's remarkable.",That's wonderful.,0.0,0.5714285714285715,0.4,0.5714285714285715
That's amazing! Okay so tell me something do you drink or smoke?,Been married for forty five years must be nice to spend retirement with your wife.,0.0,0.0,0.0,0.0
Okay.,"Okay no history of boozing, correct?",0.0,0.2857142857142857,0.0,0.2857142857142857
"Hello, my name is Mary. I will ask you a few questions about your medical and family history and then Doctor Smith will come and check you. Okay?",Is your case of sinus related to your recent in C V A?,0.02426317497222675,0.14634146341463414,0.0,0.0975609756097561
Do you have any other previously diagnosed medical issues?,Are you having any other issues right now?,0.3309363384692233,0.5882352941176471,0.39999999999999997,0.5882352941176471
Do you smoke or drink?,"Oh, I'm sorry to hear that.",0.0,0.0,0.0,0.0
Do you have any kind of allergies?,"Do you have any known allergies to food, medication, or previously experienced adverse reaction?",0.2857142857142857,0.4761904761904762,0.3157894736842105,0.4761904761904762
"Thank you for answering all my questions, I will let Doctor Smith know that you are ready.",Thank you for the information so far.,0.10270758704647535,0.25,0.18181818181818182,0.25
Do you know what foods have a high level of salt?,Your blood pressure is pretty borderline. I want to control it with diet before we consider you on any medications. Would you consider a low salt diet?,0.07407407407407407,0.15789473684210525,0.0,0.15789473684210525
Yes mostly. And pickles.. I want you to avoid them.,Yes. I want you to cut back on foods like fast food and other rich processed foods high in sodium. Are you able to see a nutritionist for a consult?,0.13333333333333333,0.3,0.15789473684210528,0.25
Because it is harmful for your current condition.,"Well, I think a professional advice will be helpful for you to understand which foods contain hidden salt and the right amount for you.",0.041666666666666664,0.0625,0.0,0.0625
"Yes, so follow a low salt diet.","Great, thanks.",0.0,0.0,0.0,0.0
"Please, tell me more about your family's medical history. Are there any conditions I should know about?",Is there an arthritis history in your family?,0.08116311683958743,0.30769230769230765,0.08333333333333333,0.15384615384615383
"Good to know, did you have arthritis as a child?",What about in children? Did anyone in your family have arthritis when they were kids?,0.13333333333333333,0.24,0.08695652173913043,0.24
"Generally, but it can happen in children as well. What about psoriasis, is there any history of that anywhere?",Lucky you! Did anyone have psoriasis?,0.0,0.08,0.0,0.08
"Hello, sir. Welcome back. Looks like we are going to revaluate your heart issues. You have a history of ischemic cardiac disease, correct? Can you also state your age?","Hello, sir, how are you today?",0.01081868535974655,0.2285714285714286,0.06060606060606061,0.2285714285714286
"I do. The scan showed some wall scarring but also that the amount of blood leaving your heart per contraction was normal. Do you experience any chest pain, palpitations, difficulty sleeping at night, leg or arm swelling, or shortness of breath while lying flat?","Yes. This thallium treadmill test showed that there is some mild scaring on your inferior wall of the heart. Your ejection fraction was preserved, though. Have you had chest pain, palpitations, shortness of breath at night, or had any swelling?",0.42979777356708077,0.5,0.12195121951219512,0.3333333333333333
"Any nausea, vomiting diarrhea, or fever?","Any history of nausea, vomiting, diarrhea, or fever, ma'am?",0.4444444444444444,0.7499999999999999,0.5714285714285714,0.7499999999999999
Okay.,Thank you for the information.,0.0,0.0,0.0,0.0
"So, Doctor Pai how is your patient that you told me about?","I'm going back home today, Doctor.",0.0,0.10526315789473685,0.0,0.10526315789473685
"Oh, we discharged her, she went home.","That's great. Remind me, who is at home to help care for you?",0.0,0.09523809523809523,0.0,0.09523809523809523
That's great!,"Actually, I live alone.",0.0,0.0,0.0,0.0
Yeah.,Do you have any family in the area that can help?,0.0,0.0,0.0,0.0
What type of cancer again?,We um we we um we discussed the possibility of of your dad having metastatic disease related to his prostate cancer. I see here they told me it was advanced prostate cancer.,0.03125,0.10810810810810811,0.0,0.10810810810810811
Did it travel anywhere in your body?,And do you know if this affected any other areas other than just the prostate.,0.0,0.0,0.0,0.0
Do you have any major medical conditions that run in your family that I should know about?,Has anyone else in your family had lots of hip pain?,0.15806680330494804,0.21428571428571427,0.15384615384615385,0.21428571428571427
"Well, it could be anything from depression to high blood pressure, to cancer.",Has anyone in your family had a hip replacement?,0.0,0.0,0.0,0.0
"Hi there! I am Doctor Jones, sir.","Good afternoon, sir. My name is Arinze. I am a nurse practitioner.

Thank you and nice to meet you.

Before we start, I would like to take a look at your chart.

Alright.

So, you are fifty-five years old and here for another assessment, correct?

Yes, that is correct.

Good.

Hello, sir. I am Anna, the medical assistant. I have a few more questions to ask you.

Alright.

So, you are here because of your right leg, correct?

Yes, my whole right leg in general.

What happening in your right leg?

I cannot remember the exact timeline, but I have been having weakness. About six months ago, it first started. I noticed it because I was trying to get something from the closet, but I could not stand on my right toe.

So, you had difficulty trying to stand up?

Yes, exactly. In addition to that, I have a little tingle in my toes, but my toes have been weak. I have been also experiencing numbness in them. My back hurts mildly. It has been hurting mildly for many years now.

Do you only feel the tingle and numbness in the right foot and toes?

Well, my back hurts and I had cramps in both legs, especially both calves. The cramps have been going on for about a year.

Did the cramping ever go away?

Yes, it did. It went away approximately two months ago.

Do you feel weakness in both legs or just in the right leg?

I feel like it is only the right leg. I do not think my left leg has the same weakness.

Are you having any uncontrolled release of urine or bowel movements?

No, I do not have any uncontrolled bowel movements or urine release.

Are you experiencing any shoot or sharp related pain in your leg?

I am noticing that the strength of my right leg has been getting worse.

Have you seen anyone else for this problem?

Yes. I first went to my primary care physician then they sent me to the neurologist.",0.008797653958944282,0.017191977077363897,0.005763688760806917,0.017191977077363897
What brings you into see me today?,Are you ready to start your appointment?,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
How long has this been going on and do you know how you injured yourself?,How long have you been experiencing weakness?,0.18223231847084023,0.36363636363636365,0.1,0.27272727272727276
Can you tell me what you do remember?,That's fine. Do you remember any accident? Or any kind of trauma or fall that may have led to this weakness?,0.047619047619047616,0.19999999999999998,0.0,0.13333333333333333
"Was the numbness and tingling mild, moderate, or severe?",Have you had any new tingling or numbness since your leg was affected by the weakness? Or has it been a problem for you before? Or did you have tingling or numbness and just didn't notice until now?,0.13157894736842105,0.25,0.043478260869565216,0.16666666666666666
Have you had any other pain any where else in your body?,Did you have any back pain? Or any radiating back pain that came into the leg? Or a leg cramping feeling?,0.19047619047619047,0.30303030303030304,0.0,0.24242424242424246
"Is the back pain been mild, moderate, or severe?",Have you had any weakness or loss of strength in your left leg?,0.07692307692307693,0.09090909090909093,0.0,0.09090909090909093
How long has that been going on?,Are you right handed or left handed?,0.0,0.0,0.0,0.0
Have you had any weakness in the left leg?,You did not go to the hospital for the pain you felt in your leg and back?,0.17647058823529413,0.30769230769230765,0.0,0.23076923076923078
Have you had any pain around right leg and the area of numbness and tingling?,Are you taking any medications?,0.054134113294645084,0.2,0.0,0.2
Have you had any bowel or bladder incontinence? Any radicular pain?,"Since you mentioned that you have been seen by your primary doctor and then a neurologist, can you tell me more about the treatments you had and what more advanced testing you have undergone?",0.058823529411764705,0.13333333333333333,0.04651162790697675,0.13333333333333333
When did you first see a doctor for the issue? I remember that you told me you saw a different provider prior to coming to see me.,Do you recall the names of the tests that were done?,0.06368358520661273,0.15789473684210525,0.0,0.15789473684210525
"I see in your chart that we did a CT scan that shows degenerative changes, but nothing obviously abnormal. Remind me why we did not do a MRI of your spine?",Do you have any copies of the reports from those tests?,0.014756419198349833,0.09523809523809523,0.0,0.09523809523809523
That is unfortunate. It looks like we were able to do an EMG and nerve conduction studies. What medications are you taking currently?,Do you happen to have a copy of the CT Scan?,0.061074723861665896,0.1764705882352941,0.0,0.1176470588235294
What medications are those?,"You said it was before taking stat medications. From my understanding you are referring to Lipitor, correct?",0.058823529411764705,0.19047619047619047,0.0,0.19047619047619047
Do you know what your levels of your CK were before you started taking medication?,Can you tell me what the values were regarding your CK Levels before and after starting these medications?,0.3333333333333333,0.5454545454545454,0.06451612903225808,0.42424242424242425
I don't see any labs in your chart. Did your primary do labs for your CK levels?,Do you have the paperwork from these tests?,0.0,0.07692307692307691,0.0,0.07692307692307691
Okay. Have you started any other medications?,What does the most recent test show on the CK Level?,0.0,0.0,0.0,0.0
Have you experienced any weakness or pain after starting Zetia?,Does this cause any closer pain?,0.08556951983876533,0.25,0.0,0.25
Can you remind me how old you are?,Thank you for the information.,0.10976232721880529,0.15384615384615385,0.0,0.15384615384615385
"I spoke with Poison Control regarding the possible ingestion of the liquid. They let me know that it is actually a relatively small amount and is likely to be a nontoxic ingestion of the liquid, if she did end up ingesting it. It is not likely to be the case as she is behaving as if she did not ingest any of the liquid.","It is a small ingestion. It is hard for me to tell that she ingested anything if she did, according to what her family is saying.",0.11593963142409615,0.37777777777777777,0.11363636363636363,0.26666666666666666
Do you smoke cigarettes?,Do you smoke or drink alcohol?,0.5,0.6,0.5,0.6
"Good, no one should.",Thank you for the information.,0.0,0.0,0.0,0.0
Okay. How about alcohol?,Thank you for the information.,0.0,0.0,0.0,0.0
Okay.,Are you sure?,0.0,0.0,0.0,0.0
"How are your sugar levels these days, sir?","You well-controlled diabetes, hepatitis C and HIV, correct?",0.0,0.0,0.0,0.0
That's good. Do you have any other medical condition?,How long you have been taking the treatments for it?,0.2,0.20000000000000004,0.1111111111111111,0.20000000000000004
And how about any allergies? Are you allergic to any drug or anything?,Are you allergic to any medications?,0.25950268659549813,0.5263157894736842,0.47058823529411764,0.5263157894736842
It causes you side effects?,And no rashes today. Any other allergies?,0.0,0.0,0.0,0.0
I see.,"I see. And I have put it in your file. So, it will automatically go onto the report that you have to carry.",0.08695652173913043,0.16,0.08695652173913045,0.16
Interesting.,Got it. Rashes?,0.0,0.0,0.0,0.0
"Good afternoon, ma'am.","Good afternoon ma'am, my name is Doctor Boyd and I'll be taking care of you today. Let's start off by confirming some of your information.",0.04,0.25,0.19999999999999998,0.25
"Before we get started, I just need some background information. How old are you?","Great, so you're fifty six years old now, right?",0.06375038008193697,0.16666666666666666,0.0,0.08333333333333333
"Good, what's a young lady like you doing in my office? I hear you got hurt, what happened?","And, you said that this accident happened at work?",0.04087549346349359,0.14285714285714285,0.0,0.14285714285714285
When did this happen?,What shoe was this foot in?,0.16666666666666666,0.2,0.0,0.2
"Okay, do you have any other injuries I should know about?",What foot was injured?,0.0,0.0,0.0,0.0
Have you ever smoked?,Do you currently smoke cigarettes?,0.2,0.4444444444444445,0.0,0.4444444444444445
"Each day, is it?",What for how long?,0.0,0.0,0.0,0.0
For how long?,Do you have any other illicit substance related abuse problems?,0.0,0.0,0.0,0.0
Do you take any other drug or consume alcohol?,I mean do you have any other substance abuse problems?,0.3,0.4210526315789474,0.23529411764705882,0.4210526315789474
"Good morning, ma'am. Did you have a good thirty-sixth birthday?","Hello, how are you doing? How may I help you today, ma'am? Also, what is your ethnic background, ma'am?",0.05263157894736842,0.18181818181818182,0.06451612903225806,0.12121212121212123
"That's good, we'll get back to that knee in a moment. Just to confirm, you identify as white, correct?","I am sorry to see you in pain, but it is always a pleasure to help my patients. What is going on with your knee today? Is there pain?",0.20689655172413793,0.24000000000000002,0.0,0.16
"Thank you. I just needed to make sure my chart was correct. So, is this left knee still bothering you?",How much will the Synvisc injections help this time?,0.03273053647890081,0.06896551724137932,0.0,0.06896551724137932
"You've had three Synvisc injections, correct? When was your last one?","I know it is a common complaint, you are not alone. So it is not better yet?",0.0,0.06896551724137931,0.0,0.06896551724137931
Did that provide any relief at all?,"Yes, you are looking at about thirty five to forty percent better from what you had been telling me, but I want to know more about the pain that you are experiencing. Do you mind telling me more about it?",0.05,0.0851063829787234,0.0,0.0425531914893617
Are you still having the pinching pain?,"That is great to hear for the pain, so explain to me this pinching pain in the knee again.",0.10526315789473684,0.23076923076923078,0.08333333333333333,0.23076923076923078
Can you bend this knee at all?,Is it just pinching pain or anything else that I should know about? How long ago did you get the Synvisc injection?,0.045454545454545456,0.06896551724137931,0.0,0.06896551724137931
"Can you straighten the knee out for me, please?","I am just checking your knee, no need to get more pressure there, but it looks like your knee motion is pretty good. Can you bend you knee for me?",0.13333333333333333,0.2564102564102564,0.1081081081081081,0.2564102564102564
"Yes, that's not out all the way.","Okay, I got you, so I see that you have pinching pain with full weight bear, the flexion is limited, and that the extension has a decreased range of motion.",0.03333333333333333,0.10526315789473685,0.0,0.10526315789473685
"With ten being the worst pain ever, how would you rate your pain today out of ten?","On a scale of zero to ten, if zero is no pain and ten is the worst pain what number would you give it or can you rate it from that scale?",0.28125,0.40816326530612246,0.1702127659574468,0.2857142857142857
Have you used ice or heat?,"Okay, so you've been trying hot and cold packs, right?",0.0,0.11764705882352942,0.0,0.11764705882352942
What medicines are you taking?,Are you using anything to help with this pain?,0.1111111111111111,0.2857142857142857,0.16666666666666666,0.2857142857142857
Have those helped at all?,How often are you using the Tylenol with codeine?,0.0,0.0,0.0,0.0
"Hello, how are you doing today? Before we get started, I am going to do a basic review of your medical and social history.",Can we go over your family medical history?,0.05075073121372976,0.3125,0.0,0.3125
"On your chart we have that you are a non smoker, non drinker, and do not use drugs. We also have written that you do not have any past surgeries or medical conditions. Does that check out?",Thank you for the information.,0.0003323114546347868,0.047619047619047616,0.0,0.047619047619047616
So I talked to Doctor X about your problems.,"So, Doctor, did she have C. diff?",0.0,0.25,0.0,0.25
And he said your recent intestine infction is resolved. Which is C Diff colitis. You saw him two weeks back right?,"Based on our last conversation, I think patient's C. diff colitis has resolved now.",0.0,0.2222222222222222,0.11764705882352941,0.16666666666666666
Yeah.,"So, recently Doctor X followed up with you?",0.0,0.0,0.0,0.0
And we have Hypertension and high Cholesterol as well which we talked about.,Hm so when was the last time you saw him?,0.0,0.0,0.0,0.0
How can we help you today?,She also feels congested and not so well.,0.0,0.0,0.0,0.0
Oh sorry to hear that. Let me see what we can do.,"Don't worry, let me take a look.",0.06993452279385044,0.2,0.1111111111111111,0.2
How are you?,"Is this gentleman with you today, sir?",0.0,0.2,0.0,0.2
"Oh I am sorry, is it causing any shortness of breath?",How shortness of breath do you have?,0.16134803485935978,0.33333333333333326,0.25,0.33333333333333326
How about fever?,Any fever or chills?,0.0,0.28571428571428575,0.0,0.28571428571428575
Any chills?,How old are you?,0.0,0.0,0.0,0.0
Okay so that's why you came to E D?,I am just checking some basic information.,0.0,0.0,0.0,0.0
"I am sorry, we can help you. How old are you?",How do you feel during coughing?,0.07243303475117971,0.23529411764705885,0.0,0.23529411764705885
Is there any notable intra abdominal pathology?,Have you had any abdominal operations in the area?,0.2222222222222222,0.25,0.0,0.25
None whatsoever.,We should get to know your medical history before we proceed with surgery.,0.0,0.0,0.0,0.0
"Well, that's good news.",No machine pathology. There is no hernia to worry about in the abdominal region.,0.0,0.0,0.0,0.0
Do you have any health conditions that I should be aware of?,So you suffer from high blood pressure?,0.06993452279385044,0.10526315789473685,0.0,0.10526315789473685
Have you ever had surgery?,Did you have any fractures or surgeries in the past?,0.1,0.4,0.0,0.26666666666666666
"Thank you, anything else you can remember?",Are you aware of any health conditions present in your immediate family?,0.08333333333333333,0.10526315789473685,0.0,0.10526315789473685
"You were placed on nasogastric tube for decompression, right?","How are you feeling, ma'am?",0.0,0.13333333333333333,0.0,0.13333333333333333
And how do you feel after that?,Can you tell me about the condition of your sister?,0.1,0.11764705882352941,0.0,0.11764705882352941
Any medical problems?,Looks like you've conquered the worst of your toe infection. How are we feeling today?,0.0,0.0,0.0,0.0
Have you seen an ENT for this?,"Yes, it seems like you may have some anatomical issues going on inside your nose. This may be an indicator of enlarged adenoids.",0.08695652173913043,0.26666666666666666,0.0,0.13333333333333333
Do you have plans to see the ENT in the near future?,Thank you for the information.,0.0986387855766426,0.23529411764705882,0.0,0.23529411764705882
